sourceRow,id,tcg,name,edition,status,source,url,method,note
814,stock-riftbound-vex-apathetic-v-2-showcase-unleashed-ingles-nonfoil,Riftbound,"Vex, Apathetic (V.2 - Showcase)",Unleashed,resolved,scrydex_image_endpoint,https://images.scrydex.com/riftbound/UNL-150a/medium,scrydex_code_image_endpoint,
1932,stock-magic-the-gathering-wrath-of-the-skies-v-2-modern-horizons-3-extras-ingles-nonfoil,Magic The Gathering,Wrath of the Skies (V.2),Modern Horizons 3: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Wrath+of+the+Skies&format=image&version=normal&set=mh3,named_exact_image_endpoint,
1938,stock-magic-the-gathering-marsh-flats-v-1-modern-horizons-2-extras-ingles-nonfoil,Magic The Gathering,Marsh Flats (V.1),Modern Horizons 2: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Marsh+Flats&format=image&version=normal&set=mh2,named_exact_image_endpoint,
1881,stock-magic-the-gathering-ugin-s-labyrinth-modern-horizons-3-extras-ingles-nonfoil,Magic The Gathering,Ugin's Labyrinth,Modern Horizons 3: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Ugin%27s+Labyrinth&format=image&version=normal&set=mh3,named_exact_image_endpoint,
812,stock-riftbound-irelia-blade-dancer-v-2-showcase-spiritforged-ingles-nonfoil,Riftbound,"Irelia, Blade Dancer (V.2 - Showcase)",Spiritforged,resolved,scrydex_image_endpoint,https://images.scrydex.com/riftbound/SFD-246/medium,scrydex_code_image_endpoint,
2827,stock-magic-the-gathering-subtlety-modern-horizons-2-extras-ingles-nonfoil,Magic The Gathering,Subtlety,Modern Horizons 2: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Subtlety&format=image&version=normal&set=mh2,named_exact_image_endpoint,
1930,stock-magic-the-gathering-teferi-time-raveler-secret-lair-drop-series-out-of-time-super-ingles-nonfoil,Magic The Gathering,"Teferi, Time Raveler",Secret Lair Drop Series: Out of Time Super,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Teferi%2C+Time+Raveler&format=image&version=normal,named_exact_image_endpoint,
3148,stock-magic-the-gathering-ulamog-the-ceaseless-hunger-battle-for-zendikar-japones-nonfoil,Magic The Gathering,"Ulamog, the Ceaseless Hunger",Battle for Zendikar,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Ulamog%2C+the+Ceaseless+Hunger&format=image&version=normal&set=bfz,named_exact_image_endpoint,
1707,stock-magic-the-gathering-cavern-of-souls-avacyn-restored-ingles-nonfoil,Magic The Gathering,Cavern of Souls,Avacyn Restored,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Cavern+of+Souls&format=image&version=normal&set=avr,named_exact_image_endpoint,
1499,stock-magic-the-gathering-wrath-of-god-fourth-edition-black-bordered-japones-nonfoil,Magic The Gathering,Wrath of God,Fourth Edition: Black Bordered,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Wrath+of+God&format=image&version=normal&set=4bb,named_exact_image_endpoint,
754,stock-riftbound-vex-gloomist-v-2-showcase-unleashed-ingles-nonfoil,Riftbound,"Vex, Gloomist (V.2 - Showcase)",Unleashed,resolved,scrydex_image_endpoint,https://images.scrydex.com/riftbound/UNL-232/medium,scrydex_code_image_endpoint,
2571,stock-magic-the-gathering-fable-of-the-mirror-breaker-reflection-of-kiki-jiki-kamigawa-neon-dynasty-extras-ingles-no,Magic The Gathering,Fable of the Mirror-Breaker // Reflection of Kiki-Jiki,Kamigawa: Neon Dynasty: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Fable+of+the+Mirror-Breaker+%2F%2F+Reflection+of+Kiki-Jiki&format=image&version=normal&set=neo,named_exact_image_endpoint,
641,stock-riftbound-arise-spiritforged-ingles-nonfoil,Riftbound,Arise!,Spiritforged,resolved,scrydex_image_endpoint,https://images.scrydex.com/riftbound/SFD-198/medium,scrydex_code_image_endpoint,
